"VarName","TimeString","VarValue","Validity","Time_ms"
"PIT-05","6/3/2019 8:18:11 AM",1.454355,1,43619345962.1412
"PIT-06","6/3/2019 8:18:11 AM",4.93797,1,43619345962.1412
"FIT-01","6/3/2019 8:18:16 AM",31.59722,1,43619346020.0231
"FIT-02","6/3/2019 8:18:16 AM",26.74591,1,43619346020.0231
"FIT-03","6/3/2019 8:18:16 AM",4.891969,1,43619346020.0231
"PIT-02","6/3/2019 8:18:16 AM",3.204572,1,43619346020.0231
"PIT-03","6/3/2019 8:18:16 AM",7.11896,1,43619346020.0231
"PIT-05","6/3/2019 8:18:16 AM",1.380208,1,43619346020.0231
"PIT-06","6/3/2019 8:18:16 AM",4.889142,1,43619346020.0231
"FIT-01","6/3/2019 8:18:21 AM",31.6088,1,43619346077.9051
"FIT-02","6/3/2019 8:18:21 AM",26.74591,1,43619346077.9051
"FIT-03","6/3/2019 8:18:21 AM",4.891969,1,43619346077.9051
"PIT-02","6/3/2019 8:18:21 AM",3.199508,1,43619346077.9051
"PIT-03","6/3/2019 8:18:21 AM",7.119864,1,43619346077.9051
"PIT-05","6/3/2019 8:18:21 AM",1.400463,1,43619346077.9051
"PIT-06","6/3/2019 8:18:21 AM",4.899088,1,43619346077.9051
"FIT-01","6/3/2019 8:18:26 AM",31.62037,1,43619346135.8218
"FIT-02","6/3/2019 8:18:26 AM",26.74591,1,43619346135.8218
"FIT-03","6/3/2019 8:18:26 AM",4.911323,1,43619346135.8218
"PIT-02","6/3/2019 8:18:26 AM",3.224465,1,43619346135.8218
"PIT-03","6/3/2019 8:18:26 AM",7.146087,1,43619346135.8218
"PIT-05","6/3/2019 8:18:26 AM",1.438079,1,43619346135.8218
"PIT-06","6/3/2019 8:18:26 AM",4.924407,1,43619346135.8218
"FIT-01","6/3/2019 8:18:31 AM",31.62037,1,43619346193.7037
"FIT-02","6/3/2019 8:18:31 AM",26.44143,1,43619346193.7037
"FIT-03","6/3/2019 8:18:31 AM",4.871448,1,43619346193.7037
"PIT-02","6/3/2019 8:18:31 AM",3.090278,1,43619346193.7037
"PIT-03","6/3/2019 8:18:31 AM",7.044813,1,43619346193.7037
"PIT-05","6/3/2019 8:18:31 AM",1.326678,1,43619346193.7037
"PIT-06","6/3/2019 8:18:31 AM",4.843027,1,43619346193.7037
"FIT-01","6/3/2019 8:18:36 AM",31.59143,1,43619346251.5857
"FIT-02","6/3/2019 8:18:36 AM",26.44143,1,43619346251.5857
"FIT-03","6/3/2019 8:18:36 AM",4.871448,1,43619346251.5857
"PIT-02","6/3/2019 8:18:36 AM",3.066045,1,43619346251.5857
"PIT-03","6/3/2019 8:18:36 AM",7.014974,1,43619346251.5857
"PIT-05","6/3/2019 8:18:36 AM",1.286892,1,43619346251.5857
"PIT-06","6/3/2019 8:18:36 AM",4.813187,1,43619346251.5857
"FIT-01","6/3/2019 8:18:41 AM",31.59722,1,43619346309.4676
"FIT-02","6/3/2019 8:18:41 AM",26.60361,1,43619346309.4676
"FIT-03","6/3/2019 8:18:41 AM",4.869471,1,43619346309.4676
"PIT-02","6/3/2019 8:18:41 AM",3.004557,1,43619346309.4676
"PIT-03","6/3/2019 8:18:41 AM",6.952582,1,43619346309.4676
"PIT-05","6/3/2019 8:18:41 AM",1.215278,1,43619346309.4676
"PIT-06","6/3/2019 8:18:41 AM",4.739041,1,43619346309.4676
"FIT-01","6/3/2019 8:18:46 AM",31.61458,1,43619346367.3495
"FIT-02","6/3/2019 8:18:46 AM",26.60361,1,43619346367.3495
"FIT-03","6/3/2019 8:18:46 AM",4.80705,1,43619346367.3495
"PIT-02","6/3/2019 8:18:46 AM",3.027344,1,43619346367.3495
"PIT-03","6/3/2019 8:18:46 AM",6.969763,1,43619346367.3495
"PIT-05","6/3/2019 8:18:46 AM",1.22649,1,43619346367.3495
"PIT-06","6/3/2019 8:18:46 AM",4.758029,1,43619346367.3495
"FIT-01","6/3/2019 8:18:51 AM",31.63194,1,43619346425.2546
"FIT-02","6/3/2019 8:18:51 AM",26.60361,1,43619346425.2546
"FIT-03","6/3/2019 8:18:51 AM",4.80705,1,43619346425.2546
